Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2014,Incremento20132014,Floresta2014,Nuvem2014,NaoObservado2014,NaoFloresta2014,Hidrografia2014,Soma 
 1,-2.83490,-57.83095,S 2 50 5.64,O 57 49 51.42,Urucurituba,1304401,AM,2915,96.8,0.8,124.4,3.8,0.0,1689.6,1000.4,100
 2,-1.24938,-58.78714,S 1 14 57.77,O 58 47 13.70,Urucará,1304302,AM,28012,344.0,1.5,21242.2,5355.4,1.0,423.0,646.4,100
 3,-3.20648,-65.43058,S 3 12 23.33,O 65 25 50.09,Uarini,1304260,AM,10448,255.9,8.7,9551.2,108.8,0.0,100.3,431.8,100
 4,-2.57583,-67.47268,S 2 34 32.99,O 67 28 21.65,Tonantins,1304237,AM,6619,85.0,1.3,5875.9,273.3,1.7,67.4,315.7,99
 5,-4.41301,-65.57764,S 4 24 46.84,O 65 34 39.50,Tefé,1304203,AM,24186,658.6,15.7,21823.2,808.8,1.8,168.9,724.7,100
 6,-5.93398,-65.97188,S 5 56 2.33,O 65 58 18.77,Tapauá,1304104,AM,90962,323.2,2.9,79556.2,7418.2,1.9,2161.1,1501.4,100
 7,-4.02878,-69.69786,S 4 1 43.61,O 69 41 52.30,Tabatinga,1304062,AM,3343,162.4,3.8,2930.6,172.6,24.1,1.3,52.0,100
 8,-2.85099,-58.49614,S 2 51 3.56,O 58 29 46.10,Silves,1304005,AM,3758,435.5,1.3,1742.0,853.1,0.0,128.7,598.7,99
 9,-1.89625,-58.81001,S 1 53 46.50,O 58 48 36.04,São Sebastião do Uatumã,1303957,AM,10776,215.0,4.7,7455.6,2413.4,0.5,65.7,625.8,100
 10,-4.73714,-69.52392,S 4 44 13.70,O 69 31 26.11,São Paulo de Olivença,1303908,AM,20467,179.8,1.2,15176.1,4436.7,0.3,86.3,587.8,100
 11,0.35952,-68.17017,N 0 21 34.27,O 68 10 12.61,São Gabriel da Cachoeira,1303809,AM,112476,1205.8,1.9,62238.3,46707.8,352.2,489.6,1482.3,100
 12,-3.08079,-69.06723,S 3 4 50.84,O 69 4 2.03,Santo Antônio do Içá,1303700,AM,12737,139.6,2.0,11544.5,452.7,58.5,90.4,451.3,99
 13,-0.25129,-64.98731,S 0 15 4.64,O 64 59 14.32,Santa Isabel do Rio Negro,1303601,AM,64130,217.8,0.9,54397.2,7872.1,63.8,950.8,628.3,100
 14,-2.50853,-59.60122,S 2 30 30.71,O 59 36 4.39,Rio Preto da Eva,1303569,AM,5838,575.3,1.2,4261.5,989.8,1.1,0.0,10.3,100
 15,-0.65847,-60.17004,S 0 39 30.49,O 60 10 12.14,Presidente Figueiredo,1303536,AM,25568,745.6,6.5,15092.8,6301.1,5.6,1.1,3421.8,99
 16,-7.76452,-68.19675,S 7 45 52.27,O 68 11 48.30,Pauini,1303502,AM,42877,249.5,9.8,41798.1,541.7,2.2,23.7,261.8,100
 17,-2.78735,-56.68566,S 2 47 14.46,O 56 41 8.38,Parintins,1303403,AM,5958,977.4,5.6,1132.7,433.5,0.0,1133.2,2281.2,100
 18,-6.83379,-60.23604,S 6 50 1.64,O 60 14 9.74,Novo Aripuanã,1303304,AM,41452,1001.8,25.9,35808.9,2250.6,27.9,1620.2,742.6,100
 19,-1.51628,-61.51599,S 1 30 58.61,O 61 30 57.56,Novo Airão,1303205,AM,38114,120.3,1.3,33066.6,3355.9,0.6,211.9,1358.7,100
 20,-4.02487,-58.58633,S 4 1 29.53,O 58 35 10.79,Nova Olinda do Norte,1303106,AM,5625,424.6,2.5,3111.3,1376.8,0.3,281.0,431.0,100
 21,-1.08094,-58.44390,S 1 4 51.38,O 58 26 38.04,Nhamundá,1303007,AM,14132,486.3,2.7,6121.4,6070.2,1.9,344.4,1107.8,100
 22,-5.24148,-58.19462,S 5 14 29.33,O 58 11 40.63,Maués,1302900,AM,40090,1356.8,13.5,36292.5,271.4,2.1,872.3,1294.9,100
 23,-2.61234,-64.70305,S 2 36 44.42,O 64 42 10.98,Maraã,1302801,AM,17221,119.2,2.2,13093.9,1551.3,5.3,604.6,1846.7,99
 24,-6.78709,-61.11001,S 6 47 13.52,O 61 6 36.04,Manicoré,1302702,AM,48689,1751.5,29.3,35084.7,6862.1,17.4,4146.5,826.8,100
 25,-2.57290,-60.37242,S 2 34 22.44,O 60 22 20.71,Manaus,1302603,AM,11473,1256.6,2.1,7540.6,1124.8,0.2,3.0,1547.8,99
 26,-3.73889,-60.65552,S 3 44 20.00,O 60 39 19.87,Manaquiri,1302553,AM,4001,495.4,0.1,2697.7,414.5,0.0,106.3,287.1,100
 27,-3.27671,-60.71178,S 3 16 36.16,O 60 42 42.41,Manacapuru,1302504,AM,7381,797.8,3.5,3915.9,438.6,0.1,805.6,1423.0,99
 28,-8.38295,-65.70994,S 8 22 58.62,O 65 42 35.78,Lábrea,1302405,AM,69672,3616.1,135.5,62725.2,1082.7,8.8,1793.3,445.9,99
 29,-4.50575,-68.24058,S 4 30 20.70,O 68 14 26.09,Jutaí,1302306,AM,71756,242.0,2.6,64662.6,5585.4,6.9,97.6,1161.5,100
 30,-3.37471,-66.45025,S 3 22 28.96,O 66 27 0.90,Juruá,1302207,AM,19849,153.1,3.4,16125.5,2686.2,8.9,142.1,733.2,99
 31,-1.38598,-68.79404,S 1 23 9.53,O 68 47 38.54,Japurá,1302108,AM,57555,59.0,0.6,39175.5,16710.9,86.8,2.6,1520.2,99
 32,-2.54458,-58.65656,S 2 32 40.49,O 58 39 23.62,Itapiranga,1302009,AM,4245,139.3,0.8,906.9,2870.8,0.0,155.6,172.4,100
 33,-6.72683,-67.90389,S 6 43 36.59,O 67 54 14.00,Itamarati,1301951,AM,26042,132.3,3.2,24572.2,1044.2,1.5,3.3,288.5,100
 34,-3.13511,-58.81276,S 3 8 6.40,O 58 48 45.94,Itacoatiara,1301902,AM,8927,1755.6,7.9,4126.7,549.3,0.5,829.3,1665.6,100
 35,-3.08591,-60.66479,S 3 5 9.28,O 60 39 53.24,Iranduba,1301852,AM,2229,487.7,2.8,1293.6,11.0,0.0,132.9,303.8,99
 36,-7.14334,-71.42004,S 7 8 36.02,O 71 25 12.14,Ipixuna,1301803,AM,12595,229.8,1.1,12227.1,0.7,0.6,66.6,70.2,100
 37,-7.51084,-62.59920,S 7 30 39.02,O 62 35 57.12,Humaitá,1301704,AM,33428,718.5,13.5,24185.1,4621.8,2.1,3116.3,784.2,100
