Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2004,Incremento20032004,Floresta2004,Nuvem2004,NaoObservado2004,NaoFloresta2004,Hidrografia2004,Soma 
 1,-2.83490,-57.83095,S 2 50 5.64,O 57 49 51.42,Urucurituba,1304401,AM,2915,92.1,0.2,132.9,0.0,0.0,1689.6,1000.4,100
 2,-1.24938,-58.78714,S 1 14 57.77,O 58 47 13.70,Urucará,1304302,AM,28012,325.1,1.0,26615.5,1.1,0.9,423.0,646.4,99
 3,-3.20648,-65.43058,S 3 12 23.33,O 65 25 50.09,Uarini,1304260,AM,10448,225.1,3.3,9690.8,0.0,0.0,100.3,431.8,99
 4,-2.57583,-67.47268,S 2 34 32.99,O 67 28 21.65,Tonantins,1304237,AM,6619,77.9,1.6,6156.3,0.1,1.6,67.4,315.7,100
 5,-4.41301,-65.57764,S 4 24 46.84,O 65 34 39.50,Tefé,1304203,AM,24186,594.9,2.4,22694.4,1.3,1.8,168.9,724.7,100
 6,-5.93398,-65.97188,S 5 56 2.33,O 65 58 18.77,Tapauá,1304104,AM,90962,291.7,5.0,87005.8,0.1,1.9,2161.1,1501.4,100
 7,-4.02878,-69.69786,S 4 1 43.61,O 69 41 52.30,Tabatinga,1304062,AM,3343,149.9,0.5,3109.0,1.2,29.6,1.3,52.0,100
 8,-2.85099,-58.49614,S 2 51 3.56,O 58 29 46.10,Silves,1304005,AM,3758,418.7,9.3,2611.9,0.0,0.0,128.7,598.7,99
 9,-1.89625,-58.81001,S 1 53 46.50,O 58 48 36.04,São Sebastião do Uatumã,1303957,AM,10776,185.1,3.9,9898.9,0.0,0.5,65.7,625.8,100
 10,-4.73714,-69.52392,S 4 44 13.70,O 69 31 26.11,São Paulo de Olivença,1303908,AM,20467,171.1,2.6,19619.9,1.6,0.3,86.3,587.8,100
 11,0.35952,-68.17017,N 0 21 34.27,O 68 10 12.61,São Gabriel da Cachoeira,1303809,AM,112476,1165.2,4.5,108344.4,623.9,370.6,489.6,1482.3,100
 12,-3.08079,-69.06723,S 3 4 50.84,O 69 4 2.03,Santo Antônio do Içá,1303700,AM,12737,128.6,1.4,11978.6,22.9,65.2,90.4,451.3,100
 13,-0.25129,-64.98731,S 0 15 4.64,O 64 59 14.32,Santa Isabel do Rio Negro,1303601,AM,64130,203.8,1.8,61996.9,279.3,70.9,950.8,628.3,100
 14,-2.50853,-59.60122,S 2 30 30.71,O 59 36 4.39,Rio Preto da Eva,1303569,AM,5838,545.9,5.6,5280.7,0.0,1.1,0.0,10.3,100
 15,-0.65847,-60.17004,S 0 39 30.49,O 60 10 12.14,Presidente Figueiredo,1303536,AM,25568,644.4,14.5,21495.2,0.1,5.4,1.1,3421.8,99
 16,-7.76452,-68.19675,S 7 45 52.27,O 68 11 48.30,Pauini,1303502,AM,42877,185.7,6.1,42403.5,0.0,2.3,23.7,261.8,100
 17,-2.78735,-56.68566,S 2 47 14.46,O 56 41 8.38,Parintins,1303403,AM,5958,932.7,2.9,1609.8,1.1,0.0,1133.2,2281.2,100
 18,-6.83379,-60.23604,S 6 50 1.64,O 60 14 9.74,Novo Aripuanã,1303304,AM,41452,651.4,52.1,38409.9,0.0,27.9,1620.2,742.6,99
 19,-1.51628,-61.51599,S 1 30 58.61,O 61 30 57.56,Novo Airão,1303205,AM,38114,110.0,1.7,36423.7,9.0,0.7,211.9,1358.7,100
 20,-4.02487,-58.58633,S 4 1 29.53,O 58 35 10.79,Nova Olinda do Norte,1303106,AM,5625,399.7,11.1,4513.0,0.0,0.3,281.0,431.0,100
 21,-1.08094,-58.44390,S 1 4 51.38,O 58 26 38.04,Nhamundá,1303007,AM,14132,444.9,4.0,12231.2,1.8,1.9,344.4,1107.8,100
 22,-5.24148,-58.19462,S 5 14 29.33,O 58 11 40.63,Maués,1302900,AM,40090,1218.7,15.5,36701.9,0.0,2.2,872.3,1294.9,100
 23,-2.61234,-64.70305,S 2 36 44.42,O 64 42 10.98,Maraã,1302801,AM,17221,102.3,0.8,14659.5,2.5,5.4,604.6,1846.7,99
 24,-6.78709,-61.11001,S 6 47 13.52,O 61 6 36.04,Manicoré,1302702,AM,48689,1206.4,60.3,42491.9,0.0,17.4,4146.5,826.8,100
 25,-2.57290,-60.37242,S 2 34 22.44,O 60 22 20.71,Manaus,1302603,AM,11473,1223.3,12.4,8698.7,0.0,0.2,3.0,1547.8,99
 26,-3.73889,-60.65552,S 3 44 20.00,O 60 39 19.87,Manaquiri,1302553,AM,4001,486.3,3.0,3121.3,0.0,0.0,106.3,287.1,100
 27,-3.27671,-60.71178,S 3 16 36.16,O 60 42 42.41,Manacapuru,1302504,AM,7381,745.4,7.9,4406.1,0.8,0.1,805.6,1423.0,100
 28,-8.38295,-65.70994,S 8 22 58.62,O 65 42 35.78,Lábrea,1302405,AM,69672,2481.3,359.5,64941.9,0.0,9.6,1793.3,445.9,99
