Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2011,Incremento20102011,Floresta2011,Nuvem2011,NaoObservado2011,NaoFloresta2011,Hidrografia2011,Soma 
 1,-2.83490,-57.83095,S 2 50 5.64,O 57 49 51.42,Urucurituba,1304401,AM,2915,95.2,0.6,126.2,3.5,0.1,1689.6,1000.4,100
 2,-1.24938,-58.78714,S 1 14 57.77,O 58 47 13.70,Urucará,1304302,AM,28012,339.8,1.8,24634.6,1967.3,0.9,423.0,646.4,99
 3,-3.20648,-65.43058,S 3 12 23.33,O 65 25 50.09,Uarini,1304260,AM,10448,244.6,1.3,9370.6,300.1,0.6,100.3,431.8,100
 4,-2.57583,-67.47268,S 2 34 32.99,O 67 28 21.65,Tonantins,1304237,AM,6619,83.5,1.1,5195.3,955.1,2.0,67.4,315.7,99
 5,-4.41301,-65.57764,S 4 24 46.84,O 65 34 39.50,Tefé,1304203,AM,24186,637.7,3.6,21907.3,745.1,2.3,168.9,724.7,100
 6,-5.93398,-65.97188,S 5 56 2.33,O 65 58 18.77,Tapauá,1304104,AM,90962,316.1,4.6,85177.7,1803.0,2.7,2161.1,1501.4,100
 7,-4.02878,-69.69786,S 4 1 43.61,O 69 41 52.30,Tabatinga,1304062,AM,3343,157.6,0.9,3097.5,4.9,29.7,1.3,52.0,100
 8,-2.85099,-58.49614,S 2 51 3.56,O 58 29 46.10,Silves,1304005,AM,3758,430.9,1.8,2555.5,44.0,0.2,128.7,598.7,100
 9,-1.89625,-58.81001,S 1 53 46.50,O 58 48 36.04,São Sebastião do Uatumã,1303957,AM,10776,205.4,2.8,9846.6,31.9,0.6,65.7,625.8,100
 10,-4.73714,-69.52392,S 4 44 13.70,O 69 31 26.11,São Paulo de Olivença,1303908,AM,20467,177.1,0.9,19544.2,70.9,0.7,86.3,587.8,100
 11,0.35952,-68.17017,N 0 21 34.27,O 68 10 12.61,São Gabriel da Cachoeira,1303809,AM,112476,1199.4,4.0,55198.6,53742.7,363.4,489.6,1482.3,100
 12,-3.08079,-69.06723,S 3 4 50.84,O 69 4 2.03,Santo Antônio do Içá,1303700,AM,12737,137.1,2.8,7207.7,4779.7,70.8,90.4,451.3,100
 13,-0.25129,-64.98731,S 0 15 4.64,O 64 59 14.32,Santa Isabel do Rio Negro,1303601,AM,64130,215.1,2.1,48503.4,13764.8,67.6,950.8,628.3,100
 14,-2.50853,-59.60122,S 2 30 30.71,O 59 36 4.39,Rio Preto da Eva,1303569,AM,5838,570.6,5.8,5251.5,4.3,1.3,0.0,10.3,99
 15,-0.65847,-60.17004,S 0 39 30.49,O 60 10 12.14,Presidente Figueiredo,1303536,AM,25568,729.6,11.5,21392.9,17.7,4.9,1.1,3421.8,99
 16,-7.76452,-68.19675,S 7 45 52.27,O 68 11 48.30,Pauini,1303502,AM,42877,225.2,6.0,41511.4,852.2,2.7,23.7,261.8,100
 17,-2.78735,-56.68566,S 2 47 14.46,O 56 41 8.38,Parintins,1303403,AM,5958,966.9,4.8,1515.4,60.8,0.5,1133.2,2281.2,100
