Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2013,Incremento20122013,Floresta2013,Nuvem2013,NaoObservado2013,NaoFloresta2013,Hidrografia2013,Soma 
 1,-2.83490,-57.83095,S 2 50 5.64,O 57 49 51.42,Urucurituba,1304401,AM,2915,96.0,0.8,89.0,39.9,0.1,1689.6,1000.4,99
 2,-1.24938,-58.78714,S 1 14 57.77,O 58 47 13.70,Urucará,1304302,AM,28012,342.5,2.3,20384.4,6214.7,1.0,423.0,646.4,100
 3,-3.20648,-65.43058,S 3 12 23.33,O 65 25 50.09,Uarini,1304260,AM,10448,247.2,0.6,3118.5,6549.4,0.8,100.3,431.8,100
 4,-2.57583,-67.47268,S 2 34 32.99,O 67 28 21.65,Tonantins,1304237,AM,6619,83.8,0.1,1502.6,4647.4,2.1,67.4,315.7,99
 5,-4.41301,-65.57764,S 4 24 46.84,O 65 34 39.50,Tefé,1304203,AM,24186,642.9,1.9,14723.7,7922.4,3.4,168.9,724.7,100
 6,-5.93398,-65.97188,S 5 56 2.33,O 65 58 18.77,Tapauá,1304104,AM,90962,320.3,3.4,83192.9,3783.0,3.3,2161.1,1501.4,99
 7,-4.02878,-69.69786,S 4 1 43.61,O 69 41 52.30,Tabatinga,1304062,AM,3343,158.6,0.3,687.4,2423.6,20.1,1.3,52.0,100
 8,-2.85099,-58.49614,S 2 51 3.56,O 58 29 46.10,Silves,1304005,AM,3758,434.2,0.8,1840.0,755.9,0.5,128.7,598.7,99
 9,-1.89625,-58.81001,S 1 53 46.50,O 58 48 36.04,São Sebastião do Uatumã,1303957,AM,10776,210.3,4.0,7006.9,2866.6,0.7,65.7,625.8,100
 10,-4.73714,-69.52392,S 4 44 13.70,O 69 31 26.11,São Paulo de Olivença,1303908,AM,20467,178.7,1.0,13980.9,5631.9,1.4,86.3,587.8,100
 11,0.35952,-68.17017,N 0 21 34.27,O 68 10 12.61,São Gabriel da Cachoeira,1303809,AM,112476,1203.8,1.4,40545.8,68394.9,359.6,489.6,1482.3,100
 12,-3.08079,-69.06723,S 3 4 50.84,O 69 4 2.03,Santo Antônio do Içá,1303700,AM,12737,137.6,0.2,4046.0,7962.6,49.1,90.4,451.3,100
 13,-0.25129,-64.98731,S 0 15 4.64,O 64 59 14.32,Santa Isabel do Rio Negro,1303601,AM,64130,216.8,0.2,36557.3,25708.1,68.7,950.8,628.3,100
 14,-2.50853,-59.60122,S 2 30 30.71,O 59 36 4.39,Rio Preto da Eva,1303569,AM,5838,574.1,0.6,4929.4,322.8,1.4,0.0,10.3,100
 15,-0.65847,-60.17004,S 0 39 30.49,O 60 10 12.14,Presidente Figueiredo,1303536,AM,25568,739.1,4.1,17591.3,3809.6,5.1,1.1,3421.8,99
 16,-7.76452,-68.19675,S 7 45 52.27,O 68 11 48.30,Pauini,1303502,AM,42877,239.7,4.6,39980.1,2369.0,2.7,23.7,261.8,100
 17,-2.78735,-56.68566,S 2 47 14.46,O 56 41 8.38,Parintins,1303403,AM,5958,971.9,3.7,970.3,600.7,0.7,1133.2,2281.2,99
 18,-6.83379,-60.23604,S 6 50 1.64,O 60 14 9.74,Novo Aripuanã,1303304,AM,41452,976.0,42.5,37281.7,803.1,28.4,1620.2,742.6,99
 19,-1.51628,-61.51599,S 1 30 58.61,O 61 30 57.56,Novo Airão,1303205,AM,38114,119.0,0.6,17999.3,18424.4,0.7,211.9,1358.7,99
 20,-4.02487,-58.58633,S 4 1 29.53,O 58 35 10.79,Nova Olinda do Norte,1303106,AM,5625,422.1,0.8,2071.0,2418.8,1.1,281.0,431.0,99
 21,-1.08094,-58.44390,S 1 4 51.38,O 58 26 38.04,Nhamundá,1303007,AM,14132,483.6,2.6,9984.9,2209.6,1.7,344.4,1107.8,100
 22,-5.24148,-58.19462,S 5 14 29.33,O 58 11 40.63,Maués,1302900,AM,40090,1343.3,15.7,34935.3,1640.8,3.4,872.3,1294.9,100
 23,-2.61234,-64.70305,S 2 36 44.42,O 64 42 10.98,Maraã,1302801,AM,17221,117.1,1.2,10215.2,4431.8,5.6,604.6,1846.7,99
 24,-6.78709,-61.11001,S 6 47 13.52,O 61 6 36.04,Manicoré,1302702,AM,48689,1722.2,43.0,41944.5,30.7,18.3,4146.5,826.8,100
 25,-2.57290,-60.37242,S 2 34 22.44,O 60 22 20.71,Manaus,1302603,AM,11473,1254.5,2.3,8627.8,39.1,0.8,3.0,1547.8,100
 26,-3.73889,-60.65552,S 3 44 20.00,O 60 39 19.87,Manaquiri,1302553,AM,4001,495.3,0.7,2895.0,216.8,0.5,106.3,287.1,100
 27,-3.27671,-60.71178,S 3 16 36.16,O 60 42 42.41,Manacapuru,1302504,AM,7381,794.3,1.8,3970.2,386.8,1.1,805.6,1423.0,99
 28,-8.38295,-65.70994,S 8 22 58.62,O 65 42 35.78,Lábrea,1302405,AM,69672,3480.6,126.2,63488.9,453.8,9.5,1793.3,445.9,100
 29,-4.50575,-68.24058,S 4 30 20.70,O 68 14 26.09,Jutaí,1302306,AM,71756,239.4,1.5,55874.1,14373.5,9.9,97.6,1161.5,100
 30,-3.37471,-66.45025,S 3 22 28.96,O 66 27 0.90,Juruá,1302207,AM,19849,149.7,0.4,11548.1,7265.0,10.9,142.1,733.2,99
 31,-1.38598,-68.79404,S 1 23 9.53,O 68 47 38.54,Japurá,1302108,AM,57555,58.5,0.5,32981.9,22925.6,66.2,2.6,1520.2,100
 32,-2.54458,-58.65656,S 2 32 40.49,O 58 39 23.62,Itapiranga,1302009,AM,4245,138.5,1.3,2628.3,1150.0,0.2,155.6,172.4,100
 33,-6.72683,-67.90389,S 6 43 36.59,O 67 54 14.00,Itamarati,1301951,AM,26042,129.1,1.6,18203.4,7415.9,1.8,3.3,288.5,100
 34,-3.13511,-58.81276,S 3 8 6.40,O 58 48 45.94,Itacoatiara,1301902,AM,8927,1747.7,4.1,3630.9,1051.6,1.9,829.3,1665.6,99
 35,-3.08591,-60.66479,S 3 5 9.28,O 60 39 53.24,Iranduba,1301852,AM,2229,485.0,2.1,1162.1,144.6,0.6,132.9,303.8,100
 36,-7.14334,-71.42004,S 7 8 36.02,O 71 25 12.14,Ipixuna,1301803,AM,12595,228.7,6.9,12221.3,7.3,0.9,66.6,70.2,100
 37,-7.51084,-62.59920,S 7 30 39.02,O 62 35 57.12,Humaitá,1301704,AM,33428,705.0,10.7,28819.8,0.0,2.7,3116.3,784.2,99
 38,-7.25158,-72.74345,S 7 15 5.69,O 72 44 36.42,Guajará,1301654,AM,7984,482.9,3.2,7053.5,232.8,0.7,206.9,7.2,100
 39,-2.54594,-66.91330,S 2 32 45.38,O 66 54 47.88,Fonte Boa,1301605,AM,12392,101.1,0.2,4926.8,6394.8,2.7,154.1,812.5,100
 40,-7.61678,-70.19515,S 7 37 0.41,O 70 11 42.54,Envira,1301506,AM,7793,273.0,5.4,6284.3,1166.9,5.9,0.1,62.8,100
 41,-7.04074,-70.12601,S 7 2 26.66,O 70 7 33.64,Eirunepé,1301407,AM,15608,378.0,1.5,11151.7,3718.1,6.4,172.1,181.7,99
 42,-3.12907,-63.20401,S 3 7 44.65,O 63 12 14.44,Codajás,1301308,AM,18944,263.8,1.1,12536.9,3972.6,0.7,729.2,1440.8,100
 43,-4.03545,-63.53466,S 4 2 7.62,O 63 32 4.78,Coari,1301209,AM,58828,776.0,4.1,50027.9,4436.4,2.8,823.1,2761.8,99
 44,-3.30477,-59.55597,S 3 18 17.17,O 59 33 21.49,Careiro da Várzea,1301159,AM,2641,534.2,2.8,645.0,125.2,0.8,707.8,628.0,100
 45,-3.74900,-60.14701,S 3 44 56.40,O 60 8 49.24,Careiro,1301100,AM,6127,1119.8,3.8,3727.7,880.8,1.1,80.7,316.9,100
 46,-5.17242,-67.49476,S 5 10 20.71,O 67 29 41.14,Carauari,1301001,AM,26469,293.6,0.9,24242.5,1512.3,8.0,12.7,399.9,100
 47,-7.45596,-63.90278,S 7 27 21.46,O 63 54 10.01,Canutama,1300904,AM,30278,1022.3,29.2,27964.7,0.0,5.9,988.3,296.8,100
 48,-3.05460,-61.93934,S 3 3 16.56,O 61 56 21.62,Caapiranga,1300839,AM,9550,241.6,0.4,4180.7,4517.7,0.5,181.9,427.6,100
 49,-5.33176,-59.23777,S 5 19 54.34,O 59 14 15.97,Borba,1300805,AM,44452,540.0,2.5,34833.9,6638.3,14.6,586.5,1838.7,99
 50,-8.81858,-68.00168,S 8 49 6.89,O 68 0 6.05,Boca do Acre,1300706,AM,22595,2206.4,35.3,20195.1,9.4,1.7,58.4,124.0,100
 51,-3.15669,-57.90464,S 3 9 24.08,O 57 54 16.70,Boa Vista do Ramos,1300680,AM,2588,206.0,0.7,778.9,344.2,0.4,852.8,405.7,100
 52,-4.54242,-61.73805,S 4 32 32.71,O 61 44 16.98,Beruri,1300631,AM,17411,215.5,2.4,15572.8,161.0,2.8,886.1,572.8,100
 53,-5.49767,-70.32124,S 5 29 51.61,O 70 19 16.46,Benjamin Constant,1300607,AM,9146,190.2,1.5,7516.1,1219.2,15.7,0.0,204.8,100
 54,-3.13292,-57.23915,S 3 7 58.51,O 57 14 20.94,Barreirinha,1300508,AM,5760,789.3,3.0,2283.9,1321.1,1.0,408.6,956.1,100
 55,-0.14071,-63.18572,S 0 8 26.56,O 63 11 8.59,Barcelos,1300409,AM,124163,204.7,0.9,66972.5,35375.9,49.9,17060.1,4499.9,99
 56,-3.83163,-59.45109,S 3 49 53.87,O 59 27 3.92,Autazes,1300300,AM,7636,1266.3,9.1,2745.0,2143.0,1.5,464.3,1015.9,99
 57,-5.67098,-71.72825,S 5 40 15.53,O 71 43 41.70,Atalaia do Norte,1300201,AM,80005,241.6,1.1,72469.7,6627.2,254.1,16.5,395.9,99
 58,-7.59202,-59.44152,S 7 35 31.27,O 59 26 29.47,Apuí,1300144,AM,54490,1941.1,86.1,51659.9,43.5,16.3,625.0,204.2,100
 59,-4.15477,-62.08065,S 4 9 17.17,O 62 4 50.34,Anori,1300102,AM,5852,81.6,0.8,4204.2,490.5,0.4,640.6,434.7,100
 60,-3.47332,-61.67090,S 3 28 23.95,O 61 40 15.24,Anamã,1300086,AM,2473,199.2,0.8,1285.9,734.2,0.1,34.6,219.0,100
 61,-3.42104,-68.34925,S 3 25 15.74,O 68 20 57.30,Amaturá,1300060,AM,4903,114.7,0.5,1313.8,3038.2,0.3,222.4,213.6,100
 62,-3.67425,-65.34586,S 3 40 27.30,O 65 20 45.10,Alvarães,1300029,AM,6027,323.3,0.8,2901.7,2635.9,0.5,38.0,127.6,100
