Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2009,Incremento20082009,Floresta2009,Nuvem2009,NaoObservado2009,NaoFloresta2009,Hidrografia2009,Soma 
 1,-2.83490,-57.83095,S 2 50 5.64,O 57 49 51.42,Urucurituba,1304401,AM,2915,93.6,0.0,34.0,96.9,0.5,1689.6,1000.4,100
 2,-1.24938,-58.78714,S 1 14 57.77,O 58 47 13.70,Urucará,1304302,AM,28012,333.8,1.6,26129.7,476.8,2.3,423.0,646.4,100
 3,-3.20648,-65.43058,S 3 12 23.33,O 65 25 50.09,Uarini,1304260,AM,10448,239.5,0.5,9464.8,209.4,2.2,100.3,431.8,99
 4,-2.57583,-67.47268,S 2 34 32.99,O 67 28 21.65,Tonantins,1304237,AM,6619,81.5,0.4,6092.3,60.0,2.1,67.4,315.7,100
 5,-4.41301,-65.57764,S 4 24 46.84,O 65 34 39.50,Tefé,1304203,AM,24186,625.1,4.5,22348.9,314.5,3.9,168.9,724.7,100
 6,-5.93398,-65.97188,S 5 56 2.33,O 65 58 18.77,Tapauá,1304104,AM,90962,305.9,1.1,85794.5,1197.1,2.0,2161.1,1501.4,100
 7,-4.02878,-69.69786,S 4 1 43.61,O 69 41 52.30,Tabatinga,1304062,AM,3343,155.6,1.1,2554.2,548.4,31.5,1.3,52.0,99
 8,-2.85099,-58.49614,S 2 51 3.56,O 58 29 46.10,Silves,1304005,AM,3758,426.7,0.3,2403.2,199.6,1.1,128.7,598.7,99
 9,-1.89625,-58.81001,S 1 53 46.50,O 58 48 36.04,São Sebastião do Uatumã,1303957,AM,10776,197.8,2.2,9807.8,77.0,1.9,65.7,625.8,100
 10,-4.73714,-69.52392,S 4 44 13.70,O 69 31 26.11,São Paulo de Olivença,1303908,AM,20467,175.2,0.7,18635.8,980.3,1.6,86.3,587.8,100
