Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2001,Incremento20002001,Floresta2001,Nuvem2001,NaoObservado2001,NaoFloresta2001,Hidrografia2001,Soma 
 1,-2.83490,-57.83095,S 2 50 5.64,O 57 49 51.42,Urucurituba,1304401,AM,2915,89.5,7.2,135.5,0.0,0.0,1689.6,1000.4,100
 2,-1.24938,-58.78714,S 1 14 57.77,O 58 47 13.70,Urucará,1304302,AM,28012,316.3,17.1,26625.4,0.0,0.9,423.0,646.4,100
 3,-3.20648,-65.43058,S 3 12 23.33,O 65 25 50.09,Uarini,1304260,AM,10448,198.9,4.8,9717.0,0.0,0.0,100.3,431.8,99
 4,-2.57583,-67.47268,S 2 34 32.99,O 67 28 21.65,Tonantins,1304237,AM,6619,73.9,6.2,6160.4,0.0,1.6,67.4,315.7,99
 5,-4.41301,-65.57764,S 4 24 46.84,O 65 34 39.50,Tefé,1304203,AM,24186,557.1,13.5,22733.5,0.0,1.8,168.9,724.7,100
 6,-5.93398,-65.97188,S 5 56 2.33,O 65 58 18.77,Tapauá,1304104,AM,90962,272.3,5.6,87025.3,0.0,1.9,2161.1,1501.4,100
 7,-4.02878,-69.69786,S 4 1 43.61,O 69 41 52.30,Tabatinga,1304062,AM,3343,142.7,5.7,3117.4,0.0,29.6,1.3,52.0,100
 8,-2.85099,-58.49614,S 2 51 3.56,O 58 29 46.10,Silves,1304005,AM,3758,399.8,10.5,2630.8,0.0,0.0,128.7,598.7,100
 9,-1.89625,-58.81001,S 1 53 46.50,O 58 48 36.04,São Sebastião do Uatumã,1303957,AM,10776,168.7,17.3,9915.3,0.0,0.5,65.7,625.8,100
 10,-4.73714,-69.52392,S 4 44 13.70,O 69 31 26.11,São Paulo de Olivença,1303908,AM,20467,117.0,13.2,19675.6,0.0,0.3,86.3,587.8,99
 11,0.35952,-68.17017,N 0 21 34.27,O 68 10 12.61,São Gabriel da Cachoeira,1303809,AM,112476,1110.7,67.2,109021.3,1.5,370.6,489.6,1482.3,100
 12,-3.08079,-69.06723,S 3 4 50.84,O 69 4 2.03,Santo Antônio do Içá,1303700,AM,12737,125.7,14.4,12004.4,0.0,65.2,90.4,451.3,100
 13,-0.25129,-64.98731,S 0 15 4.64,O 64 59 14.32,Santa Isabel do Rio Negro,1303601,AM,64130,192.4,5.9,62185.7,101.9,70.9,950.8,628.3,100
 14,-2.50853,-59.60122,S 2 30 30.71,O 59 36 4.39,Rio Preto da Eva,1303569,AM,5838,515.6,14.9,5311.0,0.0,1.1,0.0,10.3,100
 15,-0.65847,-60.17004,S 0 39 30.49,O 60 10 12.14,Presidente Figueiredo,1303536,AM,25568,583.4,58.5,21556.3,0.0,5.4,1.1,3421.8,99
 16,-7.76452,-68.19675,S 7 45 52.27,O 68 11 48.30,Pauini,1303502,AM,42877,157.1,7.5,42432.1,0.0,2.3,23.7,261.8,100
 17,-2.78735,-56.68566,S 2 47 14.46,O 56 41 8.38,Parintins,1303403,AM,5958,904.3,21.0,1639.3,0.0,0.0,1133.2,2281.2,100
 18,-6.83379,-60.23604,S 6 50 1.64,O 60 14 9.74,Novo Aripuanã,1303304,AM,41452,550.3,15.6,38511.0,0.0,27.9,1620.2,742.6,100
 19,-1.51628,-61.51599,S 1 30 58.61,O 61 30 57.56,Novo Airão,1303205,AM,38114,103.1,23.4,36439.6,0.0,0.7,211.9,1358.7,100
 20,-4.02487,-58.58633,S 4 1 29.53,O 58 35 10.79,Nova Olinda do Norte,1303106,AM,5625,367.6,8.4,4545.1,0.0,0.3,281.0,431.0,100
 21,-1.08094,-58.44390,S 1 4 51.38,O 58 26 38.04,Nhamundá,1303007,AM,14132,431.4,9.7,12246.5,0.0,1.9,344.4,1107.8,100
 22,-5.24148,-58.19462,S 5 14 29.33,O 58 11 40.63,Maués,1302900,AM,40090,1151.4,22.4,36769.2,0.0,2.2,872.3,1294.9,100
 23,-2.61234,-64.70305,S 2 36 44.42,O 64 42 10.98,Maraã,1302801,AM,17221,86.6,11.7,14677.7,0.0,5.4,604.6,1846.7,99
 24,-6.78709,-61.11001,S 6 47 13.52,O 61 6 36.04,Manicoré,1302702,AM,48689,1041.7,35.0,42656.6,0.0,17.4,4146.5,826.8,100
 25,-2.57290,-60.37242,S 2 34 22.44,O 60 22 20.71,Manaus,1302603,AM,11473,1170.0,73.4,8752.0,0.0,0.2,3.0,1547.8,100
 26,-3.73889,-60.65552,S 3 44 20.00,O 60 39 19.87,Manaquiri,1302553,AM,4001,473.2,19.7,3134.4,0.0,0.0,106.3,287.1,100
 27,-3.27671,-60.71178,S 3 16 36.16,O 60 42 42.41,Manacapuru,1302504,AM,7381,693.7,60.4,4458.6,0.0,0.1,805.6,1423.0,100
 28,-8.38295,-65.70994,S 8 22 58.62,O 65 42 35.78,Lábrea,1302405,AM,69672,1480.6,183.4,65942.6,0.0,9.6,1793.3,445.9,100
 29,-4.50575,-68.24058,S 4 30 20.70,O 68 14 26.09,Jutaí,1302306,AM,71756,188.5,13.3,70301.5,0.0,6.9,97.6,1161.5,100
 30,-3.37471,-66.45025,S 3 22 28.96,O 66 27 0.90,Juruá,1302207,AM,19849,118.4,3.5,18846.4,0.0,8.9,142.1,733.2,100
