Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2001,Incremento20002001,Floresta2001,Nuvem2001,NaoObservado2001,NaoFloresta2001,Hidrografia2001,Soma 
 1,-3.25303,-45.97435,S 3 15 10.91,O 45 58 27.66,Zé Doca,2114007,MA,2438,1851.3,1021.6,583.6,2.8,0.3,0.0,0.0,100
 2,-6.84864,-49.25551,S 6 50 55.10,O 49 15 19.84,Xinguara,1508407,PA,3793,3172.1,25.8,603.3,0.0,0.0,0.0,17.6,99
 3,-10.61178,-68.46285,S 10 36 42.41,O 68 27 46.26,Xapuri,1200708,AC,5511,1024.1,37.2,4486.1,0.0,0.8,0.0,0.0,99
 4,-6.59866,-48.48198,S 6 35 55.18,O 48 28 55.13,Xambioá,1722107,TO,1191,928.5,8.2,221.3,0.0,0.1,11.0,30.1,100
 5,-6.88444,-47.99094,S 6 53 3.98,O 47 59 27.38,Wanderlândia,1722081,TO,1382,282.3,0.2,178.9,0.0,0.0,920.8,0.0,100
 6,-4.15502,-45.29588,S 4 9 18.07,O 45 17 45.17,Vitorino Freire,2113009,MA,1209,1166.3,0.0,0,0.0,0.0,43.3,0.0,100
 7,-3.19117,-51.87114,S 3 11 28.21,O 51 52 16.10,Vitória do Xingu,1508357,PA,3136,1489.1,545.4,1497.4,0.0,0.0,0.1,149.4,99
 8,-3.54938,-44.93269,S 3 32 57.77,O 44 55 57.68,Vitória do Mearim,2112902,MA,736,226.9,188.1,34.1,0.0,0.2,464.9,9.9,100
 9,-1.01612,-52.05024,S 1 0 58.03,O 52 3 0.86,Vitória do Jari,1600808,AP,2481,176.1,0.0,1794.7,0.0,0.8,379.8,129.6,100
 10,-1.09331,-46.26696,S 1 5 35.92,O 46 16 1.06,Viseu,1508308,PA,4971,3236.3,99.2,1601.2,0.1,0.7,45.4,87.3,99
 11,-12.12351,-60.11211,S 12 7 24.64,O 60 6 43.60,Vilhena,1100304,RO,11584,1357.0,37.5,8535.8,0.0,3.9,1685.8,1.5,99
 12,-10.01731,-51.43727,S 10 1 2.32,O 51 26 14.17,Vila Rica,5108600,MT,7443,3238.1,198.7,4008.2,0.0,0.0,186.8,9.9,100
 13,-5.03923,-48.09734,S 5 2 21.23,O 48 5 50.42,Vila Nova dos Martírios,2112852,MA,1196,936.8,3.6,116.8,0.0,1.4,131.8,9.2,100
 14,-15.13556,-60.01729,S 15 8 8.02,O 60 1 2.24,Vila Bela da Santíssima Trindade,5105507,MT,13521,3975.6,196.8,2862.5,0.0,19.6,6590.4,72.9,99
 15,-0.91777,-48.11811,S 0 55 3.97,O 48 7 5.20,Vigia,1508209,PA,536,191.2,28.0,0,0.0,346.4,16.4,161.4,133
 16,-3.13012,-45.18793,S 3 7 48.43,O 45 11 16.55,Viana,2112803,MA,1176,484.7,472.4,113.9,0.0,0.0,382.3,195.1,100
 17,-12.48409,-55.32384,S 12 29 2.72,O 55 19 25.82,Vera,5108501,MT,2952,1348.2,114.6,1584.5,0.0,1.4,17.8,0.1,99
 18,-15.55785,-56.34462,S 15 33 28.26,O 56 20 40.63,Várzea Grande,5108402,MT,939,0.0,0.0,0,0.0,1.4,937.7,0.0,100
 19,-10.36243,-62.07227,S 10 21 44.75,O 62 4 20.17,Vale do Paraíso,1101807,RO,974,824.4,17.2,145.4,0.0,0.0,3.5,0.7,99
 20,-9.69033,-61.77120,S 9 41 25.19,O 61 46 16.32,Vale do Anari,1101757,RO,3166,825.2,85.8,2310.5,0.0,0.0,11.3,19.0,100
 21,-15.02325,-58.95656,S 15 1 23.70,O 58 57 23.62,Vale de São Domingos,5108352,MT,1913,578.2,3.9,523.5,0.0,0.2,811.1,0.0,100
 22,-11.11448,-62.45596,S 11 6 52.13,O 62 27 21.46,Urupá,1101708,RO,841,650.1,10.7,93.2,0.0,0.0,97.7,0.0,100
 23,-2.83490,-57.83095,S 2 50 5.64,O 57 49 51.42,Urucurituba,1304401,AM,2915,89.5,7.2,135.5,0.0,0.0,1689.6,1000.4,100
 24,-1.24938,-58.78714,S 1 14 57.77,O 58 47 13.70,Urucará,1304302,AM,28012,316.3,17.1,26625.4,0.0,0.9,423.0,646.4,100
 25,-3.57633,-53.74101,S 3 34 34.79,O 53 44 27.64,Uruará,1508159,PA,10794,1478.7,462.8,9311.3,0.0,3.8,0.0,0.2,100
 26,-11.53596,-54.35070,S 11 32 9.46,O 54 21 2.52,União do Sul,5108303,MT,4583,550.4,40.1,4007.8,0.0,2.1,22.7,0.0,100
 27,-3.80187,-47.54701,S 3 48 6.73,O 47 32 49.24,Ulianópolis,1508126,PA,5122,2476.1,76.2,2645.7,0.0,0.2,0.0,0.0,99
