Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2006,Incremento20052006,Floresta2006,Nuvem2006,NaoObservado2006,NaoFloresta2006,Hidrografia2006,Soma 
 107,-10.68304,-52.63992,S 10 40 58.94,O 52 38 23.71,São José do Xingu,5107354,MT,7465,4160.8,29.7,2936.4,0.0,4.6,306.2,57.0,100
 108,-13.43601,-56.79362,S 13 26 9.64,O 56 47 37.03,São José do Rio Claro,5107305,MT,4563,1687.6,16.4,1769.7,0.0,0.0,1103.6,2.1,99
 109,-16.45731,-54.27559,S 16 27 26.32,O 54 16 32.12,São José do Povo,5107297,MT,443,27.4,0.0,0,0.0,0.0,416.1,0.0,100
 110,-2.59520,-44.09279,S 2 35 42.72,O 44 5 34.04,São José de Ribamar,2111201,MA,390,94.1,2.2,82.0,6.6,35.1,0.0,172.2,100
 111,-6.43988,-46.90735,S 6 26 23.57,O 46 54 26.46,São João do Paraíso,2111052,MA,2070,251.6,1.9,22.8,0.0,0.8,1794.8,0.0,100
 112,-3.59710,-46.53744,S 3 35 49.56,O 46 32 14.78,São João do Carú,2111029,MA,620,392.4,0.1,127.4,100.2,0.0,0.0,0.0,100
 113,-5.44170,-48.67711,S 5 26 30.12,O 48 40 37.60,São João do Araguaia,1507508,PA,1288,839.1,3.0,259.2,0.0,0.0,73.7,116.0,100
 114,-0.77509,-47.26758,S 0 46 30.32,O 47 16 3.29,São João de Pirabas,1507474,PA,703,185.7,2.5,8.0,129.9,285.1,12.9,81.4,100
 115,-0.86850,-47.96322,S 0 52 6.60,O 47 57 47.59,São João da Ponta,1507466,PA,197,99.1,3.8,0,0.0,98.0,1.6,11.3,106
 116,0.77051,-59.92018,N 0 46 13.84,O 59 55 12.65,São João da Baliza,1400506,RR,4305,455.0,14.0,3807.7,36.4,0.1,0.4,5.4,100
 117,-3.01337,-44.77539,S 3 0 48.13,O 44 46 31.40,São João Batista,2111003,MA,700,148.6,0.0,56.6,0.8,0.0,358.8,135.2,100
